Model,feature_selection,NOF,Scaler,Encoder,Imputer,R2,MAE
RandomForestRG,VarianceThreshold,460,,LabelEncoder,KnnImputer,0.8098782647477922,22769.16842465753
RandomForestRG,VarianceThreshold,470,,LabelEncoder,KnnImputer,0.812042539002022,22775.841472602737
RandomForestRG,VarianceThreshold,480,,LabelEncoder,KnnImputer,0.8139275946781835,22458.74417808219
RandomForestRG,VarianceThreshold,490,,LabelEncoder,KnnImputer,0.8123102030279664,22794.481575342463
RandomForestRG,UFS,5,,LabelEncoder,KnnImputer,0.6792677054139376,33697.59760852275
RandomForestRG,UFS,15,,LabelEncoder,KnnImputer,0.7584804713745956,28304.235353881275
RandomForestRG,UFS,25,,LabelEncoder,KnnImputer,0.7861640684853286,26713.79154109589
RandomForestRG,UFS,35,,LabelEncoder,KnnImputer,0.8015687692563834,26197.10530821918
RandomForestRG,UFS,45,,LabelEncoder,KnnImputer,0.7939541102635927,25395.892328767124
RandomForestRG,UFS,55,,LabelEncoder,KnnImputer,0.8201281744474648,22372.066027397257
RandomForestRG,UFS,65,,LabelEncoder,KnnImputer,0.815542691486362,22245.165239726022
RandomForestRG,UFS,75,,LabelEncoder,KnnImputer,0.8077488321217202,22834.83976027397
RandomForestRG,UFS,85,,LabelEncoder,KnnImputer,0.8147778274102817,22218.51020547945
RandomForestRG,UFS,95,,LabelEncoder,KnnImputer,0.8093137835695764,23104.94023972603
RandomForestRG,UFS,105,,LabelEncoder,KnnImputer,0.8122549780521242,22733.496643835613
RandomForestRG,UFS,115,,LabelEncoder,KnnImputer,0.8230048386545199,22451.688047945205
RandomForestRG,VarianceThreshold,100,Normalizer,LabelEncoder,KnnImputer,0.8509537118747523,20115.32
RandomForestRG,VarianceThreshold,110,Normalizer,LabelEncoder,KnnImputer,0.8530297419647268,19803.913047945207
RandomForestRG,VarianceThreshold,120,Normalizer,LabelEncoder,KnnImputer,0.8611061679351557,19376.455
RandomForestRG,VarianceThreshold,130,Normalizer,LabelEncoder,KnnImputer,0.8503706474959319,20046.51448630137
RandomForestRG,VarianceThreshold,140,Normalizer,LabelEncoder,KnnImputer,0.8659376762452085,19616.564863013697
RandomForestRG,VarianceThreshold,150,Normalizer,LabelEncoder,KnnImputer,0.8276836281629606,21630.10808219178
RandomForestRG,VarianceThreshold,160,Normalizer,LabelEncoder,KnnImputer,0.8390347210367897,20305.87883561644
RandomForestRG,VarianceThreshold,170,Normalizer,LabelEncoder,KnnImputer,0.8414162646883444,20773.5975
RandomForestRG,VarianceThreshold,180,Normalizer,LabelEncoder,KnnImputer,0.8318248037682681,20956.98102739726
RandomForestRG,VarianceThreshold,190,Normalizer,LabelEncoder,KnnImputer,0.8262181123975892,20916.56976027397
RandomForestRG,VarianceThreshold,200,Normalizer,LabelEncoder,KnnImputer,0.8341080253892682,20672.912465753423
RandomForestRG,VarianceThreshold,210,Normalizer,LabelEncoder,KnnImputer,0.8338406514380211,21439.003047945207
RandomForestRG,VarianceThreshold,220,Normalizer,LabelEncoder,KnnImputer,0.8334725871824271,21407.24133561644
RandomForestRG,VarianceThreshold,230,Normalizer,LabelEncoder,KnnImputer,0.8177040367187871,22275.26058219178
RandomForestRG,VarianceThreshold,240,Normalizer,LabelEncoder,KnnImputer,0.8275870072828483,22765.86339041096
RandomForestRG,VarianceThreshold,250,Normalizer,LabelEncoder,KnnImputer,0.8135743697289234,22553.427910958904
RandomForestRG,VarianceThreshold,260,Normalizer,LabelEncoder,KnnImputer,0.8173441674927346,22334.124691780824
RandomForestRG,VarianceThreshold,270,Normalizer,LabelEncoder,KnnImputer,0.8133415999136332,22380.512910958907
RandomForestRG,VarianceThreshold,280,Normalizer,LabelEncoder,KnnImputer,0.7968010977833255,22366.87729452055
RandomForestRG,VarianceThreshold,290,Normalizer,LabelEncoder,KnnImputer,0.7977245450436905,22395.81530821918
RandomForestRG,VarianceThreshold,300,Normalizer,LabelEncoder,KnnImputer,0.7992043497042045,22258.86147260274
RandomForestRG,VarianceThreshold,310,Normalizer,LabelEncoder,KnnImputer,0.7891994036358342,22560.95866438356
RandomForestRG,VarianceThreshold,320,Normalizer,LabelEncoder,KnnImputer,0.7979534775705762,22782.476883561645
RandomForestRG,VarianceThreshold,330,Normalizer,LabelEncoder,KnnImputer,0.7653685112312048,25860.04952054795
RandomForestRG,VarianceThreshold,340,Normalizer,LabelEncoder,KnnImputer,0.7038862106815165,29287.96551369863
RandomForestRG,VarianceThreshold,350,Normalizer,LabelEncoder,KnnImputer,0.7150500146633748,29168.662157534247
RandomForestRG,VarianceThreshold,360,Normalizer,LabelEncoder,KnnImputer,0.6562737782003047,30278.37181506849
RandomForestRG,VarianceThreshold,370,Normalizer,LabelEncoder,KnnImputer,0.6304938116531146,31582.52202054795
RandomForestRG,VarianceThreshold,380,Normalizer,LabelEncoder,KnnImputer,0.634893201637887,31356.009623287668
RandomForestRG,VarianceThreshold,390,Normalizer,LabelEncoder,KnnImputer,0.6287228889222145,31526.63708904109
RandomForestRG,VarianceThreshold,400,Normalizer,LabelEncoder,KnnImputer,0.640765491822226,32438.85102739726
RandomForestRG,VarianceThreshold,410,Normalizer,LabelEncoder,KnnImputer,0.588749247996849,33966.90863013699
RandomForestRG,VarianceThreshold,420,Normalizer,LabelEncoder,KnnImputer,0.593119754048698,33513.542945205474
RandomForestRG,VarianceThreshold,430,Normalizer,LabelEncoder,KnnImputer,0.5983324691524232,32961.203972602736
RandomForestRG,VarianceThreshold,440,Normalizer,LabelEncoder,KnnImputer,0.5873697204402148,33764.81058219178
RandomForestRG,VarianceThreshold,450,Normalizer,LabelEncoder,KnnImputer,0.5929383393869174,33281.1881849315
RandomForestRG,VarianceThreshold,460,Normalizer,LabelEncoder,KnnImputer,0.5318346263419469,37272.17715753425
